Référence Article;Désignation Article;Ar Nomencl;Code - Intitulé Famille;Qté Vendues;PU;Chiffre d'affaires HT;Marge (%);Prix Revient Total;Marge
CARTFILTEAU9;"CARTOUCHE BLOWN POUR FILTRE 9"" 20u";0;FILTRE - FILTRE LOCAL;1;0;0;#DIV/0;41,67;-41,67
CARTSEPEAU;CARTOUCHE SEPARATEUR D'EAU 1518512;0;FILTRE - FILTRE LOCAL;2;1500;3000;32,33;2030;970
CBTA150500;POMPE CENTRIFUGE HORIZONTALE MONOCELLULAIRE;0;SIHIPOMPE - SIHI POMPE CENTRIFUGE GPL;5;304000;1520000;25,63;1130409,36;389590,64
CC1037136;CARTOUCHE FILTRE ASPIRATION;0;BOTTCOMPR - PDR Compresseur Bottarini;6;375,67;2254;36,88;1422,65;831,35
CE08;CABLE SPIRALE EQUIPE LONG:8M;0;PEROLOCAME - Equipement camion;17;5605,88;95300;31,83;64967,01;30332,99
CEHA4108NL;POMPE HORIZONTALE MULTICELLULAIRE A CANAL LATERAL A BOUT D ARBRE NU;0;SIHIPOMPE - SIHI POMPE CENTRIFUGE GPL;1;66000;66000;23;50819,2;15180,8
CEHA4108NL_LA_AFU;GROUPE ELECTROPOMPE CEHA4108 AVEC MOTEUR AEX 11KW;0;SIHIPOMPE - SIHI POMPE CENTRIFUGE GPL;1;114200;114200;8,89;104047;10153
CEHA6106NL-LAAFU1A;POMPE MULTICELLULAIRE  BOUT D'ARBRE NU;0;SIHIPOMPE - SIHI POMPE CENTRIFUGE GPL;1;89500;89500;22,71;69178,46;20321,54
CEHA6108/5AA;POMPE HORIZONTALE MULTICELLULAIRE AUTO AMORCANTE AV MOT.ELEC.30KW;0;SIHIPOMPE - SIHI POMPE CENTRIFUGE GPL;6;177750;1066500;28,76;759776,36;306723,64
CEHA6108NL-LA-AFU;ELECTROPOMPE GPL POUR BUTANE DEBIT 30M3/H A ARBRE NU;0;SIHIPOMPE - SIHI POMPE CENTRIFUGE GPL;2;88000;176000;30,95;121528,71;54471,29
CERTIATEX;AGREMENT ATEX;0;LARCOASPRF - ASPIRATION FLOTTANTE LARCO;6;3006,67;18040;20,62;14319,99;3720,01
CERTIF;CERTIFICAT D'ORIGINE, D'EPREUVE ET DE CONFORMITE;0;CERTILARCO - LARCODIVERS;1;3600;3600;-7,23;3860,15;-260,15
CERTIFCCI;CCO VISE PAR LA CCI VERSION ELECTRONIQUE;0;LARCOJAUGE - Matériel de Jaugeage LARCO;1;1080;1080;36,12;689,95;390,05
CERTIF-COMP;CERTIFICATS COMPLEMENTAIRES EN10204-3-1;0;LARCOASPRF - ASPIRATION FLOTTANTE LARCO;1;0;0;#DIV/0;4266,3;-4266,3
CERTIF_OR_EP;CERTIFICAT D'ORIGINE ET D'EPREUVES;0;LARCOASPRF - ASPIRATION FLOTTANTE LARCO;1;1900;1900;67,41;619,2;1280,8
CERTIINSP;CERTIFICAT D'INSPECTION;0;CERTILARCO - LARCODIVERS;1;1550;1550;32,29;1049,43;500,57
CERTIINSP_LOT_FOND;CERTIFICAT D'INSPECTION EN 10204-3.1 LOTS DE FONDERIE;0;CERTILARCO - LARCODIVERS;1;2200;2200;31,42;1508,76;691,24
CERTI_OR_CC;CERTIFICAT D'ORIGINE EMIS PAR LA CHAMBRE DE COMMERCE ET D'INDUSTRIE;0;JAPYENS - JAPYENS;1;450;450;-20,68;543,08;-93,08
CHARIOTFUT;CHARIOT POUR FUT 200KG;0;CHARIOT - CHARIOT SIATRA;5;1812;9060;14,46;7749,94;1310,06
CHARIOTFUT200/ROUE;CHARIOT FUT POUR 200L SUR 4 ROUES;2;CHARIOT - CHARIOT SIATRA;33;1917,7;63284;51,29;30824,9;32459,1
CHARIOTPETRODIS;CHARIOT MOBILE AVEC COMPTEUR SMB150 SUR CHARIOT;2;CHARIOT - CHARIOT SIATRA;2;55800;111600;27,07;81391,13;30208,87
CHARIOTRAVITBAT;CHARIOT MOBILE POUR RAVITAILLEMNT BATEAUX DE PECHE;2;CHARIOT - CHARIOT SIATRA;1;114175;114175;51,38;55510,09;58664,91
CHARIOTSOMACIER;CHARIOT DE SOUTAGE DISTIBUTION GASOIL;2;CHARIOT - CHARIOT SIATRA;1;118000;118000;51,13;57669,75;60330,25
CHARIOTVIVOHOCEIMA;CHARIOT DE SOUTAGE VIVO HOCEIMA;2;CHARIOT - CHARIOT SIATRA;1;98300;98300;43,58;55465,53;42834,47
CHARSOUTVIVOIPFNI;CHARIOT DE SOUTAGE PORT SIDI INFI;2;CHARIOT - CHARIOT SIATRA;1;0;0;#DIV/0;38471,57;-38471,57
CHASSPOMPE;CHASSIS POUR POMPE;0;CHASSIS - Chassis;1;0;0;#DIV/0;1539;-1539
C_HK1F;DETECTEUR DOCIL AVEC CONTREPOIDS INOX;0;LARCOINSTR - LARCO INSTRUMENTATION;11;18200;200200;28,36;143432,83;56767,17
C_HK1H;DETECTEUR D'HYDROCARBURE DOCIL C HK1H;0;LARCOINSTR - LARCO INSTRUMENTATION;15;22953,33;344300;25,6;256152,52;88147,48
CITERNE-10T;CITERNE AERIENNE 10TONNES ACIER PEINT HORIZONTALE FOND BOMBES/ECHELLE;0;FUT - Fut;2;40180;80360;32,8;54000;26360
CITERNE-4T;CITRENE 4T;0;FUT - Fut;2;5680;11360;14,17;9750;1610
CITERNE-5T;CITERNE 5T AERIENNE CYLINDRIQUE HORIZONTAL D.1400mm L.VIROLE 3250mm;0;FUT - Fut;1;32000;32000;29,69;22500;9500
CITERNE.5T;CITERNE 5T VERTICALE AVEC VANNE ;0;FUT - Fut;1;8200;8200;25,91;6075;2125
CITERVER2T;CIETRNE VERTICALE 2T;0;FUT - Fut;1;3280;3280;13,62;2833,33;446,67
CITERVER3T;CITERNE VERTICALE 3T;0;FUT - Fut;2;5400;10800;30,3;7527,5;3272,5
CLAPANTRD1;"CLAPET ANTI RETOUR 1""";0;RACCORD - RACCORD LOCAL;2;156;312;38,57;191,67;120,33
CLAPTANTR1/4;CLAPET ANTI RETOUR 1/4;0;RACCORD - RACCORD LOCAL;2;0;0;#DIV/0;170,08;-170,08
CLEF_TRIC;CLEF TRICOISE UNIVERSELLES ANTI ETINCELLES;0;ISINCINDEQ - Equipement incendie;6;160;960;29,99;672,14;287,86
CLEQ32;CLE POLYGONALE A FRAPPER Q32;0;ACCESSOIR - DIVERS ACCESSOIRES ;10;430;4300;83,49;710,1;3589,9
CM_STD1;CHAMBRE A MOUSSE EN INOX DN20 A 150;0;ISINCINDEQ - Equipement incendie;2;22400;44800;36,84;28297,35;16502,65
CM_STD2;CHAMBRE A MOUSSE INOX 304 ENTREE 3'' PN20;0;ISINCINDEQ - Equipement incendie;5;25020;125100;32,98;83841,77;41258,23
CM_STD3;CHAMBRE A MOUSSE INOX 304 ENTREE 4'' PN20;0;ISINCINDEQ - Equipement incendie;2;27400;54800;26,53;40263,3;14536,7
COFFR/ELECT/COMPR;COFFRET ELECTRIQUE DE PROTECTION COMPRESSEUR;2;ELECTRICIT - FOURNITURE ELEC.;1;2800;2800;42,81;1601,32;1198,68
COFFRET-ALIMEAUTOM;COFFRET EN POLYSTERE POUR ALIMENTATION ;2;ELECTRICIT - FOURNITURE ELEC.;2;2650;5300;23,86;4035,59;1264,41
COFFRET-PROT;COFFRET DE PROTECTION AVEC PIQUET DE TERRE ET VARISSTANCE GRILLE;2;ELECTRICIT - FOURNITURE ELEC.;1;2200;2200;59,7;886,52;1313,48
COLLIER-1/2+VIS;COLLIER 1/2 AVEC VIS;0;ACCESSOIR - DIVERS ACCESSOIRES ;12;0;0;#DIV/0;49,68;-49,68
COLONENRL;COLONNE PORTE ENROULEUR EN ACIER PEINTE;2;CHASSIS - Chassis;1;10800;10800;87,59;1340;9460
COM-P430-14;PISTOLET DE PEINTURE;0;ITWPISTOLE - Pistolet ITW;1;1250;1250;-30,18;1627,19;-377,19
CONEJAUGE8;CONE DE JAUGEAGE SUPPL;0;LARCOECRAP - PDR Ecran flottant LARCO;1;4603,28;4603,28;66,38;1547,7;3055,58
CONN_FR;CONNECTEUR FOND DE RACK;0;LARCODOCIP - PDR SONDES LARCO;9;1200;10800;30,03;7557,25;3242,75
CONTDEMARR;CONTACTEUR DE DEMARRAGE;0;ACCESSOIR - DIVERS ACCESSOIRES ;1;325;325;23,08;250;75
COSSE.JF25-120;COSSE A BRIDE WC JF 25-120MM;0;RACCORD - RACCORD LOCAL;4;0;0;#DIV/0;212;-212
COUDE1/2FF;COUDE 1/2 GLVFF;0;RACCORD - RACCORD LOCAL;1;0;0;#DIV/0;8,83;-8,83
COUDE1/2MF;COUDE 1/2 GLVMF;0;RACCORD - RACCORD LOCAL;1;0;0;#DIV/0;8,27;-8,27
COUDE1FF;"COUDE 1""FF GLV";0;RACCORD - RACCORD LOCAL;33;24,55;810;30,34;564,23;245,77
COUDE3/4MF;COUDE 3/4 MF GLV;0;RACCORD - RACCORD LOCAL;2;0;0;#DIV/0;23,51;-23,51
COUVEJAUGE;COUVRE JAUGE;0;LARCOECRAP - PDR Ecran flottant LARCO;1;9400;9400;31,97;6394,38;3005,62
COVERFLD15.97M;ECRAN FLOTTANT SUIVANT 1.1 DIAM 15.97M;0;LARCOECRAN - LARCO ECRAN FOLTTANT;1;510000;510000;32,9;342232,75;167767,25
COVERFLD15/ACCESS;COVERFLOTTE DIAM.15.98M AVEC ACCESSOIRES;2;LARCOECRAN - LARCO ECRAN FOLTTANT;2;490000;980000;39,98;588166,1;391833,9
COVERFLD15M;ECRAN FLOTTANT COVERFLOTE POUR EQUIPER DES RESRVOIRS DE DIAM. 15M;0;LARCOECRAN - LARCO ECRAN FOLTTANT;1;447190;447190;30,12;312480,48;134709,52
COVERFLD20M;EQUIPEMENT STANDARD COVERFLOTE;0;LARCOECRAN - LARCO ECRAN FOLTTANT;1;717343,02;717343,02;29,23;507681,39;209661,63
COVERFLTD36M;ECRANT FLOTTANT COVERFLOT POUR BAC 36M;0;LARCOECRAN - LARCO ECRAN FOLTTANT;1;997800;997800;-23,02;1227473,31;-229673,31
COVERLD20M/ACCESS;COVERFLOTE LONG.20M AVEC ACCESSOIRES;2;LARCOECRAN - LARCO ECRAN FOLTTANT;1;578718;578718;40,75;342914,33;235803,67
CR-02;CABLE REEL CR-02 WITH SSC CLAMP;0;ISOILEQ - ISOIL EQUIPEMENT;3;19015;57045;37,76;35504,64;21540,36
CREP1;"CLAPETA RESSORT BRONZE 1""";0;ACCESSOIR - DIVERS ACCESSOIRES ;1;85;85;23,88;64,7;20,3
CRM102/FLEXAIR;COMPRESSEUR AIRMEC 100L AVEC FLEXIBLE AIR DE 50M +KIT ACCESSOIRE;2;SHAMCOMPEQ - Equipement;1;8200;8200;92,27;634;7566
CS6-355-1;Elément Coalesceur-Séparateur pour corps de filtre VFH / Coalescer-Se;0;AVIFILACCE - Accessoire Avifil;4;8250;33000;32,81;22171,3;10828,7
CSEGSF1X3X0.88/1;CABLE INSTRUMENT 1X3X0.88MM2;0;CABLE - Câblage électrique;50;15;750;32;510;240
CT03;REFLECTEUR PHOTOCELLULE DIAM.47;0;ELECTRICIT - FOURNITURE ELEC.;4;0;0;#DIV/0;266,4;-266,4
CUVE500X700;CUVE 500X700 EP.20/10;0;FUT - Fut;1;6000;6000;80;1200,17;4799,83
CYLROUE;CYLINDRE DE ROUE;0;ACCESSOIR - DIVERS ACCESSOIRES ;2;845;1690;23,08;1300;390
D000073CNR;TUBES CORPS DE POMPE DL 25NR;0;PCMPOMPPR - PDR Pompe PCM;5;4450;22250;42,11;12880,18;9369,82
D891-107LB/ACCESS;GROUPE DE COMP¨RESSION POUR GPL AV ACCESSOIRES;2;KROCHCOMPR - KROCH COMPRESSEURS;1;878400;878400;26,9;642116,14;236283,86
DCMT4;DISPOSITIF DE MISE A LA TERRE AVEC BORNE DE PARCAGE;0;PEROLODCMT - PEROLO DISPOSITIF DE CONTROLE;32;47903,41;1532908,99;24,6;1155869,21;377039,78
DCU_NXG2;DEVERSOIR DE MOUSSE POUR CUVETTE DCU NXG2;0;ISINCINDEQ - Equipement incendie;1;19600;19600;31,19;13486,8;6113,2
DE1001F;FILTRE A GASOIL;0;FILTRE - FILTRE LOCAL;2;279;558;82,3;98,75;459,25
DEL.706.001;SABRE DE JAUGEAGE 0 EN HAUT LONG 0.6M;0;AFAJAUGE - Matériel de jaugeage AFA;5;3159;15795;38,5;9714,21;6080,79
DEL.706.120;CURSEUR LAITON POUR SABRE OU REGLE DE JAUGEAGE;0;AFAJAUGE - Matériel de jaugeage AFA;5;796;3980;39,36;2413,63;1566,37
DEMENT-P500;DEMONTE PNEU 500;0;ACCESSOIR - DIVERS ACCESSOIRES ;1;150;150;55,55;66,67;83,33
DEMENT-P600;DEMONTE PNEU 600;0;ACCESSOIR - DIVERS ACCESSOIRES ;5;278;1390;73,02;375;1015
DFG4601;FILTRE ;0;FILTRE - FILTRE LOCAL;1;300;300;73,33;80;220
DF-H2023;FILTRE A HUILE;0;FILTRE - FILTRE LOCAL;1;80;80;37,5;50;30
DI280899-1;GARNITURE MECANIQUE CARBURE;0;PCMPOMPPR - PDR Pompe PCM;1;2900;2900;-2,06;2959,65;-59,65
DIMENCABL;DEMMENSIONNEMENT CABLES ELECTRIQUE ET ACCESSOIRES ELECTRIQUE;2;ELECTRICIT - FOURNITURE ELEC.;1;84480;84480;49,86;42357,16;42122,84
DIVARTICLE;DIVERS ARTICLE;0;DIVARTICLE - Article divers;548;3416,65;1872323,94;96,76;60597,5;1811726,44
DIVISIONSYM70;DIVISION SYM 70 2XSYM 40;0;ISINCINDEQ - Equipement incendie;6;2500;15000;29,91;10513,36;4486,64
DOCIL400D2TH;"SONDE DOCIL ANTODEBORDEMENT 2"" LG3M";0;LARCODOCIE - Alarme de niveau LARCO;14;19983,57;279770;29,02;198569,07;81200,93
DOCIL400D2TH/SONDE;"SONDE DOCIL ANTODEBORDEMENT 2"" LG3M AVEC BRIDE";2;LARCODOCIP - PDR SONDES LARCO;2;35300;70600;38,03;43751,34;26848,66
DOCIL400D3TH/BRIDE;"SONDE DOCIL ANTIDEBORDEMENT 3"" 400D 3M AVEC BRIDE";2;LARCODOCIP - PDR SONDES LARCO;8;27740;221920;26,05;164113,44;57806,56
DOUCHELAVAGE;DOUCHE POUR LAVAGE OCULAIRE EN ACIER GALVANISE;0;ACCESSOIR - DIVERS ACCESSOIRES ;1;9250;9250;27,57;6700;2550
DR5134;FILTRE A AIR;0;FILTRE - FILTRE LOCAL;1;314;314;46,92;166,67;147,33
DR_DIAM3;DISQUE DE RUPTURE DIAM 3'' 150 lbs;0;ISINCINDEQ - Equipement incendie;2;600;1200;26,69;879,72;320,28
DR_DIAM4;DISQUE DE RUPTURE DIAMETRE 4'' 150 lbs;0;ISINCINDEQ - Equipement incendie;2;600;1200;26,69;879,72;320,28
DR_DIAM6;DIQUE DE RUPTURE DIAMETRE 6'' 150 lbs;0;ISINCINDEQ - Equipement incendie;2;600;1200;26,69;879,72;320,28
DS1074PG;FILTRE D'HUILE;0;FILTRE - FILTRE LOCAL;3;329,33;988;45,72;536,24;451,76
DS1990A-F5+;IBUTTON TAG;0;CABLE - Câblage électrique;30;125;3750;70,67;1100;2650
DS9093A+;SUPPORT BUTTON TAG;0;CABLE - Câblage électrique;30;58;1740;87,93;210;1530
DV1-C-BAR-13-B+;PISTOLET DV1 MODELE DV1-C-BAR-13-B+;0;ITWPISTOLE - Pistolet ITW;4;7740;30960;23,49;23688,54;7271,46
DX200AR-2;POMPE NUE EN ALUMINIUM ;0;ITWPOMPEEQ - Pompes à membranes ITW;15;11722;175830;32,87;118041,62;57788,38
DXK-203;KIT MEMBRANE EN PTFE;0;ITWPISTOLP - PDR Pistolet ITW;48;2951,25;141660;33,77;93827,49;47832,51
DXK-213;KIT MEMBRANE DX200 EN TEFLON;0;ITWPISTOLP - PDR Pistolet ITW;4;560;2240;-17,58;2633,88;-393,88
E0264-042;ESCALIER ARTICULE 3 MARCHES EMCO WHEATON TYPE 0264-042;0;PEROLOBRAE - equipement;13;44061,54;572800;29,07;406287,98;166512,02
E0264-046;ESCALIER ARTICULE 4 MARCHES EMCO WHEATON TYPE E0264-046;0;PEROLOBRAE - equipement;9;51188,89;460700;19,04;372973,23;87726,77
E0264-5M;ESCALIER ARTICULE EMCO WHEATON 5 MARCHES;0;PEROLOBRAE - equipement;1;71870;71870;22,68;55568,61;16301,39
E1AA5T559C-ATEX;"POMPE A DOUBLE MEMBRANE 1"" ALU TEFLON";0;VERSAEQ - VERSAMATIC EQUIPEMENT;1;8550;8550;28,12;6145,89;2404,11
E2386;"POSTE DE CHARGEMENT /DECHARGEMENT E2386 3""/3""X2""";0;PEROLOBRAE - equipement;22;340164,13;7483610,8;22,45;5803585,11;1680025,69
E3AA1R119C-ATEX;"POMPE A MEMBRANE 3"" NEOPRENE";0;VERSAEQ - VERSAMATIC EQUIPEMENT;1;17000;17000;23,33;13034,39;3965,61
E3AA5T559C-ATEX;POMPE A MEMBRANE 3'' EN TEFLON ;0;VERSAEQ - VERSAMATIC EQUIPEMENT;1;21000;21000;15,67;17708,35;3291,65
EAU_BATERIE;EAU DE BATTERIE;0;ISINCINDEQ - Equipement incendie;5;20;100;70;30;70
ECRAN_DELL;DELL 24 MONITOR - SE2422H- 60.5CM (23.8'') HDMI, VGA;0;INFOMATIQ - MATERIEL INFORMATIQUE;1;2080;2080;17,6;1714;366
ECRANFILE/INSTMES;ECRAN FILE AVEC INSTALLATION ET MISE EN SERVICE;2;ALMACOMPEQ - Compteur ALMA;0;#DIV/0;0;#DIV/0;0;0
EEX-50;POMPE ELECTRIQUE 230 Volts 250 W, 50/60 Hz,ATEX, 3 m3/H, CYCLE;0;JAPYENS - JAPYENS;2;9639;19278;34,38;12650,63;6627,37
EFA-DEF0-IIA-200/4;ARRETE FLAMME EN LIGNE EFA-Def0-IIA-200/4''-1.2;0;LARCOJAUGE - Matériel de Jaugeage LARCO;1;35000;35000;32,21;23727,04;11272,96
ELECTRPPD3-30M3/H;"ELECTROPOMPE VOLUMETRIQUE A PALETTES 3"" AV M. REDUCTEUR, COMPT.VOLUM ";2;POMPE - POMPE LOCAL;13;107964,62;1403540;42,61;805517,3;598022,7
ELECVAN_24VDC;ELECTROVANNE NO 24V AC  AV CONECT;0;COMPRPDR - PDR Compresseur;7;900;6300;32,13;4276;2024
ELG5204;FILTRE GASOIL;0;FILTRE - FILTRE LOCAL;1;120;120;39,23;72,92;47,08
EM6422A1111;EX-d pulses emitter;0;ISOILEQ - ISOIL EQUIPEMENT;1;17000;17000;57,8;7173,87;9826,13
EMB-08-1/4M;EMBOUT 1/4 MALE LAINTON 08-1/4;0;RACCORD - RACCORD LOCAL;10;12,5;125;30,48;86,9;38,1
EMB-10-1/4M;EMBOUT 1/4 MALE LAITON 10-1/4;0;RACCORD - RACCORD LOCAL;10;15;150;29,07;106,4;43,6
EMB110MB;EMILCADDY 110 WITH MANUAL ROTARY PUMP;0;TANKFORPPE - POMPE TANK FOR FUEL;10;7500;75000;25,55;55839,45;19160,55
EMB-PR-M1/4;EMBOUT PR M-1/4;0;RACCORD - RACCORD LOCAL;20;18;360;30,56;250;110
EMG110MA;EMILCADDY 110 WITH MANUAL ROTARY PUMP;0;TANKFORPPE - POMPE TANK FOR FUEL;7;8550;59850;44,25;33366,7;26483,3
ENERRECHAA4;PILE RECHARGEABLE AA POUR FLEXICOMPT;0;ACCESSOIR - DIVERS ACCESSOIRES ;32;312,5;10000;81,36;1864;8136
ENR15M;ENROULEUR A AIR AV 15M DE FLEXIBLE;0;FLEXIBLE - FLEXIBLES LOCAUX;1;8500;8500;22,35;6600;1900
ENR20M;"ENROULEUR AUTOMATIQUE TUYAU 20M 3/4"" AVEC BLOQUEUR";0;FLEXIBLE - FLEXIBLES LOCAUX;1;11100;11100;24,32;8400;2700
ENR.AIR10M;ENROULEUR A AIR AV 10M DE FLEXIBLE;0;SAMOAE - SAMOA EQUIPEMENT;6;1340;8040;-32,1;10621,17;-2581,17
ENR.AIR15M;ENROULEUR A AIR SAMOA AV FLEXIBLE 15M;0;SAMOAE - SAMOA EQUIPEMENT;7;2657,14;18600;34,22;12234,73;6365,27
ENR.EAU20M;"ENROULEUR A EAU 20M DE FLEXIBLE 1/2"" 40BAR AV RACM 1""E/S AV.RAC.C 1/2";0;FLEXIBLE - FLEXIBLES LOCAUX;1;4500;4500;31,11;3100;1400
ENRG10M/PISTCAMION;"ENROULEUR GASOIL 1"" L10M AV PISTOLET GRAND TAILLE POUR POID LOURD";2;FLEXIBLE - FLEXIBLES LOCAUX;1;11360;11360;23,33;8709,5;2650,5
ENRLEUR/JOINTD50;ENROULEUR AVEC JOINT TOURNAT POUR DISTRIBUTION GASOIL;2;ENRLSIATRA - ENROULEUR  SIATRA;9;5426,11;48835;-21,33;59251,29;-10416,29
ENVLP.JOINT5;ENVELOPPE JOINT 5'' PVC/NITRILE LARG 650MM;0;LARCOECRAP - PDR Ecran flottant LARCO;1;210000;210000;58,08;88033,49;121966,51
EQUILBCHARGE6-8KG;EQUILIBREUR DE CHARGE 6-8KG COURSE 2.50M;0;CRIC - CRIC LOCAL;1;2432;2432;28,04;1750;682
EQUILIBCHAR10-14KG;EQUILBREUR DE CHARGE 10-14KG COURSE 2.5M;0;CRIC - CRIC LOCAL;6;3443,5;20661;28,85;14700;5961
ESM90;COMMPRESSEUR A VIS LUBRIFIE ET A VITESSE FIXE;0;GDCOMPE - COMPRESSEUR GARDNER DENVER;1;438000;438000;27,64;316957,11;121042,89
ETALCOMPT;ETALONAGE COMPTEUR;0;PRESTATION - MAIN D'OEUVRE;5;200;1000;100;0;1000
EV/O-12;EVENT DE SECOURS 12'';0;LARCOSECUR - LARCO MATERIEL SECURITE;1;58000;58000;42,64;33270,22;24729,78
EV/O-14;EVENT DE SECOURS 14'';0;LARCOSECUR - LARCO MATERIEL SECURITE;5;58220;291100;44,54;161458,57;129641,43
EV/O-20;Event de secours cas feu Réf. EV/o-20'';0;LARCOSECUR - LARCO MATERIEL SECURITE;2;42300;84600;-9,84;92925,75;-8325,75
EXTCO2_150/ING;SKID A POUDE AV ETUDE INGENIERIE ET PLAN D'INSTALLATION;2;ISINCINDEQ - Equipement incendie;2;120000;240000;40,39;143057,22;96942,78
EXTPOUDRE-50KG;EXTINCTEUR A POUDRE ABC 50KG;0;MATINCENDI - INCENDIE LOCALE  ;4;3105;12420;13,04;10800;1620
EXTPOUDRE-9KG;EXTINCTEUR A POUDRE ABC 9KG;0;MATINCENDI - INCENDIE LOCALE  ;8;552;4416;26,63;3240;1176
F00101000;KIT ADBLUE COMPLET;2;PIUSIACC - ACCESSOIRES PIUSI;1;9600;9600;55,36;4285,41;5314,59
F00101000A;KIT ADBLUE COMPLET;0;PIUSIPOMPE - Equipement;20;8346;166920;27,81;120493,77;46426,23
F0022400C;POMPE CARRY 3000 12V.24V;0;PIUSIPOMPE - Equipement;14;1540,36;21565;36,07;13785,52;7779,48
F0022400/PISTCOMPT;POMPE CARRY 3000 24V AV PISTOLET AUT+COMPT K24;2;PIUSIPOMPE - Equipement;1;3550;3550;37,06;2234,52;1315,48
F0023500B;KIT GASOIL 12V STBYPASS 3000;0;PIUSIPOMPE - Equipement;17;3378,24;57430;31,41;39388,58;18041,42
F00235020;ST BY PASS 3000 12V K33 -MA-;0;PIUSIPOMPE - Equipement;1;3234;3234;32,33;2188,49;1045,51
F00235020PIST;KIT POMPE PIUSI BP3000 12V K33 AVEC PISTOLET;2;PIUSIPOMPE - Equipement;11;3745,45;41200;37,03;25944,48;15255,52
F00235020/PIST/CIT;KIT POMPE PIUSI BP3000 12V K33 AVEC PISTOLET SUR CITERNE 1T;2;PIUSIPOMPE - Equipement;1;7500;7500;56,55;3258,59;4241,41
F00287POA;KIT GASOIL 220V ST P.S 56/M K33;0;PIUSIPOMPE - Equipement;41;4095,67;167922,39;27;122589,77;45332,62
F00287S10PISTA60;KIT POMPE PIUSI 220V 56/M K33 AVEC PISTOLET A60;2;PIUSIPOMPE - Equipement;29;4577,59;132750;39,7;80048,93;52701,07
F0033190A/COMPT;POMPE VISCOMAT 70 GASOIL 400V AVEC PISTOLET DIGITAL;2;PIUSIPOMPE - Equipement;1;4400;4400;34,14;2897,94;1502,06
F0033252A;POMPE MANUELLE PIUSI ;0;PIUSIPOMPE - Equipement;15;1993,33;29900;61,31;11568,49;18331,51
F0033252A/PIST;POMPE MANUEL ROTATIF AVEC PISTOLET ET BIDON;2;PIUSIPOMPE - Equipement;6;5500;33000;64,65;11663,89;21336,11
F0033490A;POMPE VISCOMAT 70 230V 50/60HZ;0;PIUSIPOMPE - Equipement;1;3500;3500;35,11;2271,23;1228,77
F0033490A/COMPT;POMPE VISCOMAT 70 MONO AVEC COMPTEUR F00984010;2;PIUSIPOMPE - Equipement;3;4426,67;13280;31,39;9111,77;4168,23
F0036304;BI- POMPE 24V;0;PIUSIPOMPE - Equipement;2;3510;7020;32,56;4734,32;2285,68
F00390010;POMPE PIUSI EX100 MOTEUR ATEX 230V/50Hz;0;PIUSIPOMPE - Equipement;1;11500;11500;41,46;6732,56;4767,44
F00390010/K33;POMPE PIUSI EX100 ATEX AVEC COMPTEUR K33;2;PIUSIPOMPE - Equipement;3;11500;34500;37,81;21456,77;13043,23
F0040710A;K24 METER POUR ADBLUE;0;PIUSICOMPT - EQUIPEMENT;0;#DIV/0;0;#DIV/0;0;0
F00408100;COMPTEUR  K24 TURBINE;0;PIUSICOMPT - EQUIPEMENT;14;1667,86;23350;39,95;14021,91;9328,09
F00408X00;COMPTEUR K24-A M/F 1'' BSP IECEX;0;PIUSICOMPT - EQUIPEMENT;21;3257,14;68400;40,09;40979,7;27420,3
F0044021;SOUPAPE SECURITE DOME;0;PEROLOCAME - Equipement camion;2;960;1920;34,06;1266,13;653,87
F00446010;GPV 2.0 BIVALVE;0;PIUSICOMPT - EQUIPEMENT;22;3855,45;84820;-0,66;85379,06;-559,06
F00446010/CART;GPV 2.0 BIVALVE;2;PIUSICOMPT - EQUIPEMENT;2;7600;15200;-0,96;15346,33;-146,33
F00472A000;K600/3 PULSEUR 1'' BSP DIESEL;0;PIUSICOMPT - EQUIPEMENT;6;2008,33;12050;28,34;8634,8;3415,2
F00492000;COMPTEUR NUMERIQUE K600B/3 PLUS OUT;0;PIUSICOMPT - EQUIPEMENT;22;3340,91;73500;27,08;53596,12;19903,88
F00503100;DEPUROIL 60L/M 230V/50Hz;0;PIUSIPOMPE - Equipement;2;9800;19600;45,3;10722,1;8877,9
F0059415C;VOLUCOMPTEUR ELECTRONIQUE GASOIL 220V;0;PIUSICOMPT - EQUIPEMENT;1;16745;16745;27,01;12222,72;4522,28
F00598020;CUBE 70 BSMART 20 UTILISATEUR;0;PIUSICOMPT - EQUIPEMENT;4;31500;126000;41,88;73224,97;52775,03
F00598030;CUBE 90 B.SMART + 20 DRIVERS;0;PIUSICOMPT - EQUIPEMENT;1;33333,33;33333,33;39,15;20283,62;13049,71
F00599000;MCBOX B.SMART 100/220V 10 ACCESS;0;PIUSICOMPT - EQUIPEMENT;2;24000;48000;44,84;26477,6;21522,4
F00599060;MCBOX 24V 10U;0;PIUSICOMPT - EQUIPEMENT;1;24700;24700;39,05;15054,18;9645,82
F005998030/TUB;VOLUCOMPTEUR BISMART 90220VAV SOCLE;2;PIUSIACC - ACCESSOIRES PIUSI;1;34000;34000;39,49;20573,46;13426,54
F00603060;AUTOMATIC NOZZLE A60 W/SWIVEL 1'' BSP;0;PIUSICOMPT - EQUIPEMENT;1;760;760;36,34;483,84;276,16
F00611B10;CLEAR CAPTOR FILTER WATERABS;0;PIUSIACC - ACCESSOIRES PIUSI;3;2233,33;6700;61,31;2592,35;4107,65
